entity_id,name,telephone,url,latitude,longitude,country,locality,region,postal_code,street_address
dining-1,Sample Coffee 1,+1-415-228-5425,www.sampleeatery1.com,37.400651,-121.934985,US,San Jose,CA,95112,801 Main St
dining-2,Sample BBQ 2,+1-415-272-9355,www.sampleeatery2.com,37.444703,-121.923775,US,Mountain View,CA,94043,802 Main St
dining-3,Sample Steak 3,+1-415-644-2910,www.sampleeatery3.com,37.341995,-122.045898,US,Sunnyvale,CA,94089,803 Main St
dining-4,Sample Coffee 4,+1-415-474-6999,www.sampleeatery4.com,37.41552,-122.056956,US,Santa Clara,CA,95050,804 Main St
dining-5,Sample Bakery 5,+1-415-339-5051,www.sampleeatery5.com,37.372219,-121.968822,US,Sunnyvale,CA,94089,805 Main St
dining-6,Sample Coffee 6,+1-415-737-6037,www.sampleeatery6.com,37.347565,-121.926718,US,Sunnyvale,CA,94089,806 Main St
dining-7,Sample Bistro 7,+1-415-601-2079,www.sampleeatery7.com,37.363213,-122.011874,US,San Jose,CA,95112,807 Main St
dining-8,Sample Coffee 8,+1-415-672-2651,www.sampleeatery8.com,37.399027,-122.067831,US,Mountain View,CA,94043,808 Main St
dining-9,Sample Bistro 9,+1-415-785-4547,www.sampleeatery9.com,37.311524,-121.97544,US,Sunnyvale,CA,94089,809 Main St
dining-10,Sample Noodle 10,+1-415-407-8085,www.sampleeatery10.com,37.376464,-122.093501,US,Santa Clara,CA,95050,810 Main St
dining-11,Sample Noodle 11,+1-415-489-7111,www.sampleeatery11.com,37.300894,-121.989097,US,Santa Clara,CA,95050,811 Main St
dining-12,Sample Bistro 12,+1-415-798-3970,www.sampleeatery12.com,37.355755,-121.926422,US,Mountain View,CA,94043,812 Main St
dining-13,Sample Bistro 13,+1-415-306-5655,www.sampleeatery13.com,37.337561,-121.989318,US,Mountain View,CA,94043,813 Main St
dining-14,Sample Noodle 14,+1-415-389-3075,www.sampleeatery14.com,37.316767,-122.033974,US,Sunnyvale,CA,94089,814 Main St
dining-15,Sample Cafe 15,+1-415-511-9652,www.sampleeatery15.com,37.388713,-121.99284,US,San Jose,CA,95112,815 Main St
dining-16,Sample Coffee 16,+1-415-517-5988,www.sampleeatery16.com,37.357356,-121.974062,US,Mountain View,CA,94043,816 Main St
dining-17,Sample Burger 17,+1-415-837-3513,www.sampleeatery17.com,37.448582,-122.018459,US,Mountain View,CA,94043,817 Main St
dining-18,Sample Burger 18,+1-415-586-6309,www.sampleeatery18.com,37.452794,-122.033867,US,Mountain View,CA,94043,818 Main St
dining-19,Sample Burger 19,+1-415-620-5662,www.sampleeatery19.com,37.384718,-122.046938,US,Sunnyvale,CA,94089,819 Main St
dining-20,Sample Sushi 20,+1-415-839-4028,www.sampleeatery20.com,37.318243,-121.956467,US,Mountain View,CA,94043,820 Main St
